instrument_name,date,expiry,strike,option_type,spot,bid_price,ask_price,mark_price,mark_iv,price_btc,price_usd,open_interest,volume_24h,time_to_expiry,iv,delta
BTC-27FEB26-75000-C,2026-01-18 06:52:17.242735,2026-02-27,75000.0,call,95147.53,0.218,0.2205,0.21905236,47.87,0.21905236,20842.2909946708,253.4,0,0.10684931506849316,0.47869999999999996,0.9450733339356197
BTC-27FEB26-125000-C,2026-01-18 06:52:17.242764,2026-02-27,125000.0,call,95147.53,0.0015,0.0016,0.00157891,41.81,0.00157891,150.2293865923,790.7,0,0.10684931506849316,0.4181,0.02690452363086263
BTC-30JAN26-65000-C,2026-01-18 06:52:17.242779,2026-01-30,65000.0,call,95147.53,0.317,0.3185,0.31778108,80.97,0.31778108,30236.084842732398,41.7,0,0.030136986301369864,0.8097,0.9972911284953191
BTC-30JAN26-86000-P,2026-01-18 06:52:17.242791,2026-01-30,86000.0,put,95147.53,0.0033,0.0036,0.00347304,43.52,0.00347304,330.4511775912,1574.4,0,0.030136986301369864,0.43520000000000003,-0.0844570088950427
BTC-25SEP26-160000-P,2026-01-18 06:52:17.242802,2026-09-25,160000.0,put,95147.53,0.637,0.6555,0.64511609,45.26,0.64511609,61381.202526757705,0.2,0,0.6821917808219178,0.4526,-0.8855956095390882
BTC-25SEP26-80000-P,2026-01-18 06:52:17.242812,2026-09-25,80000.0,put,95147.53,0.0665,0.069,0.06766682,48.12,0.06766682,6438.3307859546,572.1,0,0.6821917808219178,0.48119999999999996,-0.26270986501671423
BTC-27MAR26-95000-C,2026-01-18 06:52:17.242822,2026-03-27,95000.0,call,95147.53,0.0735,0.074,0.07388148,40.04,0.07388148,7029.6403347444,2565.8,0,0.18356164383561643,0.4004,0.5377708698670416
BTC-19JAN26-100000-P,2026-01-18 06:52:17.242831,2026-01-19,100000.0,put,95147.53,0.05,0.053,0.05108943,44.83,0.05108943,4861.0330736078995,0.0,0,0.0,0.4483,
BTC-27MAR26-155000-P,2026-01-18 06:52:17.242841,2026-03-27,155000.0,put,95147.53,0.6115,0.62,0.61538378,47.43,0.61538378,58552.2466690634,1.2,0,0.18356164383561643,0.4743,-0.989271356019941
BTC-21JAN26-98000-P,2026-01-18 06:52:17.242850,2026-01-21,98000.0,put,95147.53,0.0315,0.0335,0.03277575,34.47,0.03277575,3118.5316563975,0.0,0,0.005479452054794521,0.3447,-0.8738765871551548
BTC-25SEP26-180000-C,2026-01-18 06:52:17.242859,2026-09-25,180000.0,call,95147.53,0.012,0.0135,0.01273981,46.34,0.01273981,1212.1614541693,592.5,0,0.6821917808219178,0.46340000000000003,0.07020013170138771
BTC-20JAN26-98000-P,2026-01-18 06:52:17.242868,2026-01-20,98000.0,put,95147.53,0.0305,0.033,0.031473,34.39,0.031473,2994.57821169,0.4,0,0.0027397260273972603,0.3439,-0.9486598995268438
BTC-20JAN26-92000-P,2026-01-18 06:52:17.242874,2026-01-20,92000.0,put,95147.53,0.0015,0.0018,0.00164172,38.22,0.00164172,156.20560295159999,15.7,0,0.0027397260273972603,0.3822,-0.04536465806436675
BTC-27MAR26-320000-P,2026-01-18 06:52:17.242880,2026-03-27,320000.0,put,95147.53,2.324,2.3445,2.33327464,79.38,2.33327464,222005.31880763918,340.0,0,0.18356164383561643,0.7938,-0.9996584463854902
