date,nav,cash,open_positions,realized_pnl,unrealized_pnl,spot_price
2023-06-01,59442.48571311502,-401723.7980326538,18,0.0,49442.4857131151,26819.97265625
2023-06-02,108194.64603205502,-716676.7437435037,32,2250.1358426174447,95944.51018943748,27249.58984375
2023-06-03,128070.60896128998,-876442.8182747299,40,2250.1358426174447,115820.47311867273,27075.12890625
2023-06-04,135889.63450116548,-931991.683260032,42,2250.1358426174447,123639.49865854811,27119.06640625
2023-06-05,120803.52036355971,-931991.683260032,42,2250.1358426174447,108553.38452094232,25760.09765625
2023-06-06,142264.82713247894,-961091.9479471314,44,2250.1358426174447,130014.69128986131,27238.783203125
2023-06-07,135857.66870078037,-977826.1353801648,46,2250.1358426174447,123607.53285816281,26345.998046875
2023-06-08,137676.06848307524,-977826.1353801648,46,2250.1358426174447,125425.93264045753,26508.216796875
2023-06-09,137205.76192361943,-977826.1353801648,46,2250.1358426174447,124955.62608100165,26480.375
2023-06-10,129585.51469225681,-977826.1353801648,46,2250.1358426174447,117335.37884963941,25851.240234375
2023-06-11,130490.92453352397,-977826.1353801648,46,2250.1358426174447,118240.78869090644,25940.16796875
2023-06-12,129908.44038836157,-977826.1353801648,46,2250.1358426174447,117658.30454574403,25902.5
2023-06-13,129958.90879582742,-977826.1353801648,46,2250.1358426174447,117708.77295320982,25918.728515625
2023-06-14,120668.75402993022,-977826.1353801648,46,2250.1358426174447,108418.61818731247,25124.67578125
2023-06-15,125679.51963000826,-977826.1353801648,46,2250.1358426174447,113429.38378739054,25576.39453125
2023-06-16,134400.77160777582,-977826.1353801648,46,2250.1358426174447,122150.63576515815,26327.462890625
2023-06-17,136476.08522339014,-977826.1353801648,46,2250.1358426174447,124225.9493807728,26510.67578125
2023-06-18,134222.59195572033,-977826.1353801648,46,2250.1358426174447,121972.45611310251,26336.212890625
2023-06-19,140371.22515710501,-977826.1353801648,46,2250.1358426174447,128121.0893144878,26851.029296875
2023-06-20,159075.25020588387,-977826.1353801648,46,2250.1358426174447,146825.11436326642,28327.48828125
2023-06-21,181756.8184028616,-977826.1353801648,46,2250.1358426174447,169506.682560244,30027.296875
2023-06-22,180106.1733127177,-977826.1353801648,46,2250.1358426174447,167856.03747010007,29912.28125
2023-06-23,190704.114010787,-977826.1353801648,46,2250.1358426174447,178453.9781681693,30695.46875
2023-06-24,188599.57721857133,-977826.1353801648,46,2250.1358426174447,176349.44137595376,30548.6953125
2023-06-25,187572.9368500706,-977826.1353801648,46,2250.1358426174447,175322.80100745297,30480.26171875
2023-06-26,184622.26458903344,-977826.1353801648,46,2250.1358426174447,172372.12874641598,30271.130859375
2023-06-27,190256.65995685558,-977826.1353801648,46,2250.1358426174447,178006.5241142377,30688.1640625
2023-06-28,181921.89870173146,-977826.1353801648,46,2250.1358426174447,169671.76285911418,30086.24609375
2023-06-29,186742.75720744475,-977826.1353801648,46,2250.1358426174447,174492.62136482686,30445.3515625
2023-06-30,187264.96811166324,-955150.7243713726,44,7728.116222762717,169536.85188890033,30477.251953125
2023-07-01,188616.94452193647,-955150.7243713726,44,7728.116222762717,170888.82829917342,30590.078125
2023-07-02,188922.19378668338,-955150.7243713726,44,7728.116222762717,171194.07756392055,30620.76953125
2023-07-03,195727.633751487,-955150.7243713726,44,7728.116222762717,177999.51752872395,31156.439453125
2023-07-04,190758.92412592017,-955150.7243713726,44,7728.116222762717,173030.8079031573,30777.58203125
2023-07-05,187297.22707471054,-955150.7243713726,44,7728.116222762717,169569.11085194803,30514.166015625
2023-07-06,179469.83985816652,-955150.7243713726,44,7728.116222762717,161741.7236354032,29909.337890625
